,,,,,,GPS START,,,ELECTROFISHING POSITION,,,TOTAL ,,,,
TRIBUTARY,REACH,DATE,TIME,AIR TEMP,H2O TEMP,X,Y,SAMPLERS,START,STOP,SPECIES,LENGTH,WEIGHT,GENETICS,PASS NO.,COMMENTS
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,88,7,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,38,,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,152,32,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,WCT,37,,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,115,15,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,180,60,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,140,26,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,115,13,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,204,86,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,179,59,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,170,50,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,109,12,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,110,13,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,152,36,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,120,15,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,100,10,,1,
